CO2,d18O,IRD,NPS,obliquity,precession
281.93333300000000,,0.0,0.09100400000000000,23.573,0.01756
280.24117600000000,,0.0,0.7831230000000000,23.5854,0.017466
280.61764699999998,2.631114000000000,0.0,0.3182010000000000,23.5978,0.017372
279.253125,2.6255739999999999,0.0,0.5660900000000000,23.6102,0.017278000000000002
276.71176500000001,2.6091799999999998,0.0,1.9567500000000000,23.6226,0.017184000000000001
279.36078400000002,2.5927870000000000,0.0,0.14742800000000000,23.635,0.017090000000000001
278.6,2.579412000000000,0.0,0.2297090000000000,23.6474,0.016996000000000001
279.68,2.5690569999999999,0.0,0.08029900000000000,23.6598,0.016902
278.19607300000001,2.5617200000000002,0.0,0.18259300000000001,23.6722,0.016808
278.09789400000000,2.5574029999999999,0.0,0.14746600000000001,23.6846,0.016714
277.99658300000,2.556104000000000,0.0,0.618979000000000,23.697,0.016619999999999999
276.8905720000000,2.554805000000000,0.0,0.08452500000000000,23.7088,0.016372000000000001
276.7486030000000,2.553506000000000,0.0,0.47967100000000001,23.7206,0.016123999999999999
276.9084170000000,2.5522079999999998,0.0,0.24663299999999999,23.7324,0.015876000000000001
277.5133880000000,2.5509089999999999,0.0,0.5733080000000000,23.7442,0.015628000000000000
277.82990200000000,2.5496099999999999,0.0,0.3815310000000000,23.756,0.015380000000000000
274.99983500000002,2.548312000000000,0.0,0.4621080000000000,23.7678,0.015132000000000000
278.3733110000000,2.547013000000000,0.0,0.0695490000000000,23.779599999999999,0.014884000000000000
275.36794600000002,2.5457139999999998,0.0,0.010214000000000001,23.7914,0.014636000000000000
274.7265420000000,2.5444160000000000,0.0,0.18854299999999999,23.8032,0.014388000000000000
275.4927460000000,2.543117000000000,0.0,0.8516600000000000,23.815,0.014140000000000000
274.97048699999999,2.541818000000000,0.0,0.22242100000000001,23.8258,0.013757000000000000
275.8242260000000,2.5405190000000002,0.0,0.09433600000000000,23.8366,0.013374000000000000
273.19972100000001,2.5392210000000000,0.0,0.6796890000000000,23.8474,0.012991000000000001
273.81006500000001,2.537922000000000,0.0,0.7120370000000000,23.8582,0.01260800000000000
274.70887800000003,2.5366230000000001,0.0,0.525554000000000,23.869,0.012225000000000000
274.01235600000001,2.5353249999999998,0.0,0.5973550000000000,23.8798,0.011842000000000000
272.9128380000000,2.5340259999999999,0.0,0.37465300000000001,23.8906,0.01145900000000000
271.59066100000001,2.5327270000000000,0.0,1.2474430000000001,23.9014,0.01107600000000000
275.2056750000000,2.531429000000000,0.0,1.1341120000000000,23.9122,0.01069300000000000
274.1888580000000,2.53013000000000,0.0,0.3608550000000000,23.923,0.010310000000000000
271.8984990000000,2.528831000000000,0.0,0.7268300000000000,23.932600000000001,0.009823999999999999
271.60601200000002,2.5275319999999999,0.0,0.76356200000000,23.9422,0.009338000000000001
272.3217360000000,2.5262340000000001,0.0,0.4669330000000000,23.9518,0.008852000000000000
271.34907600000003,2.524935000000000,0.0,0.7326480000000000,23.961400000000001,0.008366000000000000
270.98548099999999,2.523636000000000,0.0,0.5711640000000000,23.971,0.007880000000000000
269.1919870000000,2.521232000000000,0.0,1.0415790000000000,23.9806,0.007394000000000000
270.5114390000000,2.5132970000000001,,,23.990200000000002,0.006908000000000000
271.35425900000001,2.4998330000000002,,,23.999800000000000,0.006422000000000000
270.8144500000000,2.48083900000000,0.0,0.7624510000000000,24.0094,0.005936000000000000
269.17744399999998,2.4657429999999998,0.0,1.284551000000000,24.019,0.005450000000000000
268.72029500000002,2.4697890000000000,0.0,0.7091580000000000,24.027100000000001,0.004905000000000000
269.63092999999998,2.4858950000000002,0.0,0.10657300000000000,24.0352,0.004360000000000000
267.86548699999997,2.506386000000000,0.0,0.5556070000000000,24.0433,0.003815000000000000
265.27584400000001,2.531263000000000,0.0,0.45194299999999998,24.0514,0.0032699999999999999
265.2189420000000,2.551099000000000,0.0,0.7825210000000000,24.0595,0.0027250000000000000
267.4196660000000,2.5517539999999999,0.0,0.5875760000000000,24.0676,0.0021800000000000001
266.45544999999998,2.544737000000000,0.0,0.8170980000000000,24.0757,0.001635000000000000
265.7208470000000,2.5588769999999998,0.0,0.5659330000000000,24.0838,0.0010900000000000000
262.6996990000000,2.5965259999999999,0.0,0.9041880000000000,24.091899999999999,0.0005450000000000000
266.6917210000000,2.621895000000000,0.0,0.9348880000000001,24.1,-0.00000000000000000000
265.38950599999998,2.636672000000000,0.0,0.8142340000000000,24.1063,-0.0005570000000000000
264.30539499999998,2.656068000000000,0.0,0.7455650000000000,24.1126,-0.0011140000000000000
263.2212850000000,2.658923000000000,0.0,1.225083000000000,24.1189,-0.0016710000000000000
261.2291590000000,2.6428870000000000,0.0,0.548560000000000,24.1252,-0.002228000000000000
261.1422640000000,2.6437499999999998,0.0,0.61102900000000,24.131499999999999,-0.0027850000000000001
260.6727650000000,2.6598210000000000,0.0,1.1253290000000000,24.137799999999999,-0.0033419999999999999
259.94102800000002,2.6734030000000000,0.0,0.9345360000000000,24.1441,-0.003899000000000000
262.3194000000000,2.682006000000000,0.0,0.09834200000000000,24.1504,-0.0044559999999999999
261.8470900000000,2.6856300000000002,0.0,0.9972320000000000,24.1567,-0.005013000000000000
257.8806020000000,2.684452000000000,0.0,1.0334080000000001,24.163,-0.005570000000000000
259.53678700000000,2.674604000000000,0.0,1.0066480000000000,24.1673,-0.006090000000000000
262.397170000000,2.6458499999999998,0.0,0.7479510000000000,24.1716,-0.006610000000000000
264.69999999999999,2.6045929999999999,0.0,0.8624600000000000,24.1759,-0.007130000000000000
